company,date,open,high,low,close,average,volume,value,out_shares,sector,sub_sector
LTG,"Dec 22, 2023",8.86,8.97,8.86,8.94,8.91,"835,400","7,446,893.00","10,821,388,889",HOLDING FIRMS,HOLDING FIRMS
LTG,"Dec 21, 2023",8.93,8.95,8.77,8.86,8.88,"1,594,600","14,160,643.00","10,821,388,889",HOLDING FIRMS,HOLDING FIRMS
LTG,"Dec 20, 2023",8.80,8.92,8.79,8.88,8.86,"2,847,400","25,214,478.00","10,821,388,889",HOLDING FIRMS,HOLDING FIRMS
MBT,"Feb 02, 2024",57.00,57.75,56.50,57.05,57.28,"1,426,710","81,715,528.00","4,497,415,555",FINANCIALS,BANKS
MBT,"Feb 01, 2024",57.00,57.00,56.20,56.90,56.64,"1,419,290","80,385,902.00","4,497,415,555",FINANCIALS,BANKS
MBT,"Jan 31, 2024",56.50,57.35,56.20,57.10,57.07,"1,432,180","81,731,308.50","4,497,415,555",FINANCIALS,BANKS
MBT,"Jan 30, 2024",56.60,57.70,56.10,56.10,56.62,"1,064,350","60,263,411.00","4,497,415,555",FINANCIALS,BANKS
MBT,"Jan 29, 2024",57.50,57.80,56.35,56.50,56.78,"1,577,510","89,567,961.50","4,497,415,555",FINANCIALS,BANKS
MBT,"Jan 26, 2024",57.65,57.80,57.00,57.80,57.51,"1,101,050","63,320,311.50","4,497,415,555",FINANCIALS,BANKS
MBT,"Jan 25, 2024",58.00,58.00,57.05,57.50,57.60,"827,170","47,642,259.50","4,497,415,555",FINANCIALS,BANKS
MBT,"Jan 24, 2024",57.90,58.25,57.80,58.00,57.99,"1,287,040","74,636,209.50","4,497,415,555",FINANCIALS,BANKS
MBT,"Jan 23, 2024",56.90,58.00,56.80,58.00,57.61,"3,555,940","204,850,544.50","4,497,415,555",FINANCIALS,BANKS
MBT,"Jan 22, 2024",56.25,56.90,55.95,56.90,56.63,"2,466,100","139,644,978.00","4,497,415,555",FINANCIALS,BANKS
MBT,"Jan 19, 2024",55.20,56.30,55.20,56.30,56.05,"1,527,990","85,648,273.00","4,497,415,555",FINANCIALS,BANKS
MBT,"Jan 18, 2024",55.50,55.50,54.80,55.25,55.12,"2,621,410","144,481,863.50","4,497,415,555",FINANCIALS,BANKS
MBT,"Jan 17, 2024",55.50,56.20,54.80,55.50,55.55,"3,204,200","177,989,894.00","4,497,415,555",FINANCIALS,BANKS
MBT,"Jan 16, 2024",56.40,56.95,55.30,55.30,55.75,"1,606,640","89,571,669.50","4,497,415,555",FINANCIALS,BANKS
MBT,"Jan 15, 2024",57.35,57.35,56.40,56.40,56.64,"1,374,830","77,875,179.50","4,497,415,555",FINANCIALS,BANKS
MBT,"Jan 12, 2024",55.95,57.60,55.95,57.40,57.04,"6,045,830","344,855,075.50","4,497,415,555",FINANCIALS,BANKS
MBT,"Jan 11, 2024",55.90,56.20,55.85,56.00,56.03,"5,928,740","332,199,457.00","4,497,415,555",FINANCIALS,BANKS
MBT,"Jan 10, 2024",55.40,56.00,54.50,55.50,55.50,"5,604,510","311,056,277.00","4,497,415,555",FINANCIALS,BANKS
MBT,"Jan 09, 2024",54.30,55.90,54.30,55.40,55.51,"6,806,630","377,805,510.50","4,497,415,555",FINANCIALS,BANKS
MBT,"Jan 08, 2024",54.70,54.80,54.00,54.20,54.13,"2,071,520","112,124,763.50","4,497,415,555",FINANCIALS,BANKS
MBT,"Jan 05, 2024",53.90,54.80,53.60,54.45,54.27,"3,108,230","168,682,604.00","4,497,415,555",FINANCIALS,BANKS
MBT,"Jan 04, 2024",53.00,54.00,52.85,53.90,53.67,"2,279,520","122,345,035.50","4,497,415,555",FINANCIALS,BANKS
MBT,"Jan 03, 2024",53.15,53.40,52.80,53.05,53.10,"1,196,590","63,534,085.50","4,497,415,555",FINANCIALS,BANKS
MBT,"Jan 02, 2024",51.35,53.15,51.35,53.15,52.79,"2,869,980","151,512,980.50","4,497,415,555",FINANCIALS,BANKS
MBT,"Dec 29, 2023",51.60,51.85,51.30,51.30,51.43,"1,392,270","71,608,702.00","4,497,415,555",FINANCIALS,BANKS
MBT,"Dec 28, 2023",51.30,51.80,50.90,51.60,51.55,"1,608,940","82,947,264.50","4,497,415,555",FINANCIALS,BANKS
MBT,"Dec 27, 2023",50.70,51.75,50.55,51.50,51.19,"4,477,640","229,192,974.00","4,497,415,555",FINANCIALS,BANKS
MBT,"Dec 22, 2023",50.90,50.90,50.70,50.80,50.80,"672,390","34,154,914.50","4,497,415,555",FINANCIALS,BANKS
MBT,"Dec 21, 2023",51.00,51.00,50.60,50.85,50.80,"1,186,290","60,269,431.50","4,497,415,555",FINANCIALS,BANKS
MBT,"Dec 20, 2023",51.10,51.80,50.90,51.30,51.31,"1,318,440","67,654,034.00","4,497,415,555",FINANCIALS,BANKS
MER,"Feb 02, 2024",358.40,368.80,358.40,363.00,363.41,"238,530","86,683,904.00","1,127,098,705",INDUSTRIAL,"ELEC., ENERGY, POWER &amp; WATER"
MER,"Feb 01, 2024",363.00,363.00,357.00,357.00,358.45,"325,700","116,746,094.00","1,127,098,705",INDUSTRIAL,"ELEC., ENERGY, POWER &amp; WATER"
MER,"Jan 31, 2024",368.00,374.80,362.00,362.00,365.44,"321,730","117,574,160.00","1,127,098,705",INDUSTRIAL,"ELEC., ENERGY, POWER &amp; WATER"
MER,"Jan 30, 2024",376.00,376.80,368.00,368.00,371.38,"253,810","94,258,722.00","1,127,098,705",INDUSTRIAL,"ELEC., ENERGY, POWER &amp; WATER"
MER,"Jan 29, 2024",377.00,378.80,374.00,376.00,376.22,"146,810","55,232,612.00","1,127,098,705",INDUSTRIAL,"ELEC., ENERGY, POWER &amp; WATER"
MER,"Jan 26, 2024",380.00,380.40,375.20,377.40,377.26,"201,960","76,190,872.00","1,127,098,705",INDUSTRIAL,"ELEC., ENERGY, POWER &amp; WATER"
